"[1, 1, 232.56, 206.31, 1682353615.483795]","[2, 1, 420.22, 311.21, 1682353615.483795]"
"[1, 1, 232.43, 206.24, 1682353615.51671]","[2, 1, 418.51, 310.04, 1682353615.51671]"
"[1, 1, 232.3, 206.1, 1682353615.557324]","[2, 1, 414.02, 307.88, 1682353615.557324]"
"[1, 1, 232.14, 205.63, 1682353615.598897]","[2, 1, 408.85, 304.93, 1682353615.598897]"
"[1, 1, 232.04, 205.54, 1682353615.627188]","[2, 1, 407.14, 304.03, 1682353615.627188]"
"[2, 1, 402.49, 301.32, 1682353615.661662]"
"[2, 1, 401.04, 300.5, 1682353615.697483]"
"[2, 1, 396.86, 298.92, 1682353615.738564]"
"[2, 1, 392.43, 295.9, 1682353615.766488]"
"[2, 1, 391.08, 294.96, 1682353615.797674]"
"[2, 1, 387.86, 293.51, 1682353615.828753]"
"[2, 1, 384.05, 291.76, 1682353615.860592]"
"[2, 1, 382.91, 291.26, 1682353615.890245]"
"[2, 1, 379.62, 289.11, 1682353615.922058]"
"[2, 1, 378.65, 288.43, 1682353615.952748]"
"[2, 1, 376.04, 286.77, 1682353615.985418]"
"[2, 1, 372.29, 284.6, 1682353616.01666]"
"[2, 1, 371.11, 283.91, 1682353616.049243]"
"[2, 1, 367.78, 282.39, 1682353616.079929]"
"[2, 1, 364.35, 280.13, 1682353616.122309]"
"[2, 1, 363.29, 279.36, 1682353616.161083]"
"[2, 1, 360.4, 278.47, 1682353616.19787]"
"[2, 1, 359.5, 278.15, 1682353616.234671]"
"[2, 1, 357.39, 276.4, 1682353616.266283]"
"[2, 1, 354.85, 274.18, 1682353616.298085]"
"[2, 1, 354.07, 273.45, 1682353616.328511]"
"[2, 1, 350.88, 272.93, 1682353616.359487]"
"[2, 1, 347.84, 271.1, 1682353616.391443]"
"[2, 1, 346.83, 270.51, 1682353616.42318]"
"[2, 1, 343.73, 269.84, 1682353616.455288]"
"[2, 1, 342.65, 269.66, 1682353616.486352]"
"[2, 1, 341.62, 267.69, 1682353616.524719]"
"[2, 1, 339.12, 266.09, 1682353616.566141]"
"[2, 1, 338.3, 265.55, 1682353616.599424]"
"[2, 1, 336.68, 264.17, 1682353616.641053]"
"[2, 1, 334.2, 262.41, 1682353616.674803]"
"[2, 1, 333.42, 261.82, 1682353616.702974]"
"[2, 1, 330.92, 260.49, 1682353616.740645]"
"[2, 1, 330.15, 260.1, 1682353616.763827]"
"[2, 1, 329.35, 259.18, 1682353616.795184]"
"[2, 1, 326.91, 257.42, 1682353616.829044]"
"[2, 1, 326.12, 256.82, 1682353616.856339]"
"[2, 1, 324.72, 255.95, 1682353616.887795]"
"[2, 1, 322.51, 254.56, 1682353616.918758]"
"[2, 1, 321.81, 254.14, 1682353616.95782]"
"[2, 1, 320.03, 254.04, 1682353617.002815]"
"[2, 1, 319.56, 254.02, 1682353617.030706]"
"[2, 1, 317.4, 252.52, 1682353617.056562]"
"[2, 1, 314.74, 251.85, 1682353617.091427]"
"[2, 1, 313.89, 251.64, 1682353617.133541]"
"[2, 1, 312.64, 250.51, 1682353617.170233]"
"[2, 1, 310.97, 249.25, 1682353617.194974]"
"[2, 1, 310.46, 248.78, 1682353617.226647]"
"[2, 1, 308.11, 247.81, 1682353617.258082]"
"[2, 1, 307.33, 247.52, 1682353617.294335]"
"[2, 1, 306.0, 246.65, 1682353617.330287]"
"[2, 1, 304.2, 246.31, 1682353617.376404]"
"[2, 1, 303.63, 246.19, 1682353617.420743]"
"[2, 1, 302.65, 244.82, 1682353617.445385]"
"[2, 1, 300.47, 243.64, 1682353617.477264]"
"[2, 1, 299.74, 243.23, 1682353617.512371]"
"[2, 1, 297.83, 242.17, 1682353617.539971]"
"[2, 1, 297.21, 241.85, 1682353617.574875]"
"[2, 1, 295.52, 240.65, 1682353617.601699]"
"[2, 1, 293.19, 239.79, 1682353617.634781]"
"[2, 1, 292.43, 239.55, 1682353617.665101]"
"[2, 1, 291.92, 239.1, 1682353617.696496]"
"[2, 1, 290.81, 237.91, 1682353617.727485]"
"[2, 1, 290.45, 237.51, 1682353617.766746]"
"[2, 1, 289.41, 236.76, 1682353617.804771]"
"[2, 1, 289.11, 236.56, 1682353617.836372]"
"[2, 1, 288.07, 235.59, 1682353617.867609]"
"[2, 1, 286.56, 234.82, 1682353617.897943]"
"[2, 1, 286.05, 234.53, 1682353617.936197]"
"[2, 1, 285.12, 234.23, 1682353617.96026]"
"[2, 1, 283.89, 233.77, 1682353617.99091]"
"[2, 1, 283.51, 233.64, 1682353618.022112]"
"[2, 1, 281.97, 233.14, 1682353618.054192]"
"[2, 1, 281.48, 232.96, 1682353618.084593]"
"[2, 1, 279.91, 232.24, 1682353618.123801]"
"[2, 1, 278.81, 231.52, 1682353618.163021]"
"[2, 1, 278.47, 231.28, 1682353618.191557]"
"[2, 1, 277.42, 230.7, 1682353618.223275]"
"[2, 1, 275.94, 229.99, 1682353618.256518]"
